pārbaudījums nosaukums,Izglītības iestāde,Kopvērtējums,Kārtotāju skaits
Eksāmens latviešu valoda 9.klasei 9. klase,Andreja Eglīša Ļaudonas vidusskola,58.64,17
Eksāmens latviešu valoda 9.klasei 9. klase,Andreja Pumpura Rīgas 11. pamatskola,73.72,40
Eksāmens latviešu valoda 9.klasei 9. klase,Andreja Upīša Skrīveru vidusskola,66.70,38
Eksāmens latviešu valoda 9.klasei 9. klase,Andrupenes pamatskola,48.96,7
Eksāmens latviešu valoda 9.klasei 9. klase,Annas Brigaderes pamatskola,57.16,8
Eksāmens latviešu valoda 9.klasei 9. klase,Ata Kronvalda Durbes pamatskola,63.84,9
Eksāmens latviešu valoda 9.klasei 9. klase,Auces vidusskola,65.58,43
Eksāmens latviešu valoda 9.klasei 9. klase,Augstkalnes pamatskola,66.06,9
Eksāmens latviešu valoda 9.klasei 9. klase,Babītes vidusskola,65.61,84
Eksāmens latviešu valoda 9.klasei 9. klase,Baldones vidusskola,61.83,59
Eksāmens latviešu valoda 9.klasei 9. klase,Baložu vidusskola,69.09,33
Eksāmens latviešu valoda 9.klasei 9. klase,Baltinavas vidusskola,65.32,7
Eksāmens latviešu valoda 9.klasei 9. klase,Balvu profesionālā un vispārizglītojošā vidusskola,54.17,22
Eksāmens latviešu valoda 9.klasei 9. klase,Balvu Valsts ģimnāzija,68.93,58
Eksāmens latviešu valoda 9.klasei 9. klase,Barkavas pamatskola,71.82,8
Eksāmens latviešu valoda 9.klasei 9. klase,Baumaņu Kārļa Viļķenes pamatskola,66.30,7
Eksāmens latviešu valoda 9.klasei 9. klase,Bauskas 2. vidusskola,70.95,57
Eksāmens latviešu valoda 9.klasei 9. klase,Bauskas pilsētas pamatskola,66.12,41
Eksāmens latviešu valoda 9.klasei 9. klase,Bauskas Valsts ģimnāzija,77.59,65
Eksāmens latviešu valoda 9.klasei 9. klase,Bebrenes vispārizglītojošā un profesionālā vidusskola,60.66,11
Eksāmens latviešu valoda 9.klasei 9. klase,Bebru pamatskola,49.89,8
Eksāmens latviešu valoda 9.klasei 9. klase,Bejas pamatskola,74.36,5
Eksāmens latviešu valoda 9.klasei 9. klase,Bēnes pamatskola,66.68,10
Eksāmens latviešu valoda 9.klasei 9. klase,Berģu Mūzikas un mākslas pamatskola,69.55,22
Eksāmens latviešu valoda 9.klasei 9. klase,Bērzaunes pamatskola,54.83,11
Eksāmens latviešu valoda 9.klasei 9. klase,Bērzpils pamatskola,65.65,7
Eksāmens latviešu valoda 9.klasei 9. klase,"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola",81.82,1
Eksāmens latviešu valoda 9.klasei 9. klase,Bikstu pamatskola,57.63,9
Eksāmens latviešu valoda 9.klasei 9. klase,Bilskas pamatskola,73.64,3
Eksāmens latviešu valoda 9.klasei 9. klase,Birzgales pamatskola,61.69,7
Eksāmens latviešu valoda 9.klasei 9. klase,Biržu pamatskola,66.41,10
Eksāmens latviešu valoda 9.klasei 9. klase,Blīdenes pamatskola,69.50,10
Eksāmens latviešu valoda 9.klasei 9. klase,Blomes pamatskola,63.69,8
Eksāmens latviešu valoda 9.klasei 9. klase,Brāļu Skrindu Atašienes vidusskola,67.77,11
Eksāmens latviešu valoda 9.klasei 9. klase,Brocēnu vidusskola,66.01,36
Eksāmens latviešu valoda 9.klasei 9. klase,Burtnieku Ausekļa pamatskola,63.98,8
Eksāmens latviešu valoda 9.klasei 9. klase,Carnikavas pamatskola,65.37,21
Eksāmens latviešu valoda 9.klasei 9. klase,Cēres pamatskola,58.35,8
Eksāmens latviešu valoda 9.klasei 9. klase,Cēsu 1. pamatskola,62.70,34
Eksāmens latviešu valoda 9.klasei 9. klase,Cēsu 2. pamatskola,73.08,22
Eksāmens latviešu valoda 9.klasei 9. klase,Cēsu Bērzaines pamatskola-attīstības centrs,62.52,11
Eksāmens latviešu valoda 9.klasei 9. klase,Cēsu Pilsētas vidusskola,52.82,49
Eksāmens latviešu valoda 9.klasei 9. klase,Cēsu Valsts ģimnāzija,80.91,41
Eksāmens latviešu valoda 9.klasei 9. klase,Cesvaines vidusskola,69.31,29
Eksāmens latviešu valoda 9.klasei 9. klase,Ciblas vidusskola,57.83,9
Eksāmens latviešu valoda 9.klasei 9. klase,Cieceres pamatskola,55.25,11
Eksāmens latviešu valoda 9.klasei 9. klase,Codes pamatskola,63.77,10
Eksāmens latviešu valoda 9.klasei 9. klase,Dagdas vidusskola,68.50,33
Eksāmens latviešu valoda 9.klasei 9. klase,Daudzeses pamatskola,69.30,11
Eksāmens latviešu valoda 9.klasei 9. klase,Daugavpils 12. vidusskola,64.04,45
Eksāmens latviešu valoda 9.klasei 9. klase,Daugavpils Saskaņas pamatskola,80.00,18
Eksāmens latviešu valoda 9.klasei 9. klase,Daugavpils Valsts ģimnāzija,75.76,37
Eksāmens latviešu valoda 9.klasei 9. klase,Daugavpils Vienības pamatskola,57.69,26
Eksāmens latviešu valoda 9.klasei 9. klase,Daugmales pamatskola,62.15,11
Eksāmens latviešu valoda 9.klasei 9. klase,Dāvja Ozoliņa Apes pamatskola,58.40,17
Eksāmens latviešu valoda 9.klasei 9. klase,Degumnieku pamatskola,68.86,10
Eksāmens latviešu valoda 9.klasei 9. klase,Dekšāru pamatskola,72.50,6
Eksāmens latviešu valoda 9.klasei 9. klase,Dienvidkurzemes 2. vidusskola,55.83,6
Eksāmens latviešu valoda 9.klasei 9. klase,Dignājas pamatskola,45.00,3
Eksāmens latviešu valoda 9.klasei 9. klase,Dobeles 1. vidusskola,51.94,51
Eksāmens latviešu valoda 9.klasei 9. klase,Dobeles Amatniecības un vispārizglītojošā vidusskola,46.30,7
Eksāmens latviešu valoda 9.klasei 9. klase,Dobeles Valsts ģimnāzija,74.22,58
Eksāmens latviešu valoda 9.klasei 9. klase,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,63.53,22
Eksāmens latviešu valoda 9.klasei 9. klase,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,59.67,89
Eksāmens latviešu valoda 9.klasei 9. klase,Dricānu vidusskola,64.19,22
Eksāmens latviešu valoda 9.klasei 9. klase,Drustu struktūrvienība,60.30,3
Eksāmens latviešu valoda 9.klasei 9. klase,Druvas vidusskola,62.75,42
Eksāmens latviešu valoda 9.klasei 9. klase,Dundagas vidusskola,61.57,20
Eksāmens latviešu valoda 9.klasei 9. klase,Dzelzavas pamatskola,65.30,6
Eksāmens latviešu valoda 9.klasei 9. klase,Dzērbenes vispārizglītojošā un mūzikas pamatskola,50.91,2
Eksāmens latviešu valoda 9.klasei 9. klase,Dzērves pamatskola,65.08,11
Eksāmens latviešu valoda 9.klasei 9. klase,Džūkstes pamatskola,54.03,7
Eksāmens latviešu valoda 9.klasei 9. klase,Edgara Kauliņa Lielvārdes vidusskola,67.19,39
Eksāmens latviešu valoda 9.klasei 9. klase,Ēdoles pamatskola,63.94,6
Eksāmens latviešu valoda 9.klasei 9. klase,Eglaines pamatskola,60.08,6
Eksāmens latviešu valoda 9.klasei 9. klase,Elejas vidusskola,56.35,28
Eksāmens latviešu valoda 9.klasei 9. klase,Emīla Dārziņa mūzikas skola,75.47,27
Eksāmens latviešu valoda 9.klasei 9. klase,Engures vidusskola,58.85,21
Eksāmens latviešu valoda 9.klasei 9. klase,Ērģemes pamatskola,58.75,4
Eksāmens latviešu valoda 9.klasei 9. klase,Ērgļu vidusskola,56.01,22
Eksāmens latviešu valoda 9.klasei 9. klase,Ernsta Glika Alūksnes Valsts ģimnāzija,71.41,55
Eksāmens latviešu valoda 9.klasei 9. klase,Ezeres pamatskola,68.94,9
Eksāmens latviešu valoda 9.klasei 9. klase,Ezernieku vidusskola,63.86,16
Eksāmens latviešu valoda 9.klasei 9. klase,Feimaņu pamatskola,52.27,8
Eksāmens latviešu valoda 9.klasei 9. klase,Friča Brīvzemnieka pamatskola,61.57,26
Eksāmens latviešu valoda 9.klasei 9. klase,Gaigalavas pamatskola,66.74,6
Eksāmens latviešu valoda 9.klasei 9. klase,Galēnu pamatskola,61.04,7
Eksāmens latviešu valoda 9.klasei 9. klase,Gardenes pamatskola,58.54,14
Eksāmens latviešu valoda 9.klasei 9. klase,Garkalnes Mākslu un vispārizglītojošā pamatskola,54.27,23
Eksāmens latviešu valoda 9.klasei 9. klase,Garlība Merķeļa Lēdurgas pamatskola,67.68,10
Eksāmens latviešu valoda 9.klasei 9. klase,Garozas pamatskola,60.83,6
Eksāmens latviešu valoda 9.klasei 9. klase,Griķu pamatskola,59.32,12
Eksāmens latviešu valoda 9.klasei 9. klase,Grundzāles pamatskola,63.05,7
Eksāmens latviešu valoda 9.klasei 9. klase,Gulbenes novada vidusskola,59.19,96
Eksāmens latviešu valoda 9.klasei 9. klase,Gulbīša pamatskola,58.09,10
Eksāmens latviešu valoda 9.klasei 9. klase,Iecavas pamatskola,50.85,16
Eksāmens latviešu valoda 9.klasei 9. klase,Iecavas vidusskola,65.45,71
Eksāmens latviešu valoda 9.klasei 9. klase,Ikšķiles vidusskola,65.46,91
Eksāmens latviešu valoda 9.klasei 9. klase,Iļģuciema vidusskola,67.36,36
Eksāmens latviešu valoda 9.klasei 9. klase,Ilmāra Gaiša Kokneses vidusskola,61.01,37
Eksāmens latviešu valoda 9.klasei 9. klase,Ilūkstes Raiņa vidusskola,63.96,37
Eksāmens latviešu valoda 9.klasei 9. klase,Inčukalna pamatskola,51.17,14
Eksāmens latviešu valoda 9.klasei 9. klase,Indras pamatskola,59.55,4
Eksāmens latviešu valoda 9.klasei 9. klase,Irlavas pamatskola,59.37,13
Eksāmens latviešu valoda 9.klasei 9. klase,Īslīces pamatskola,68.11,13
Eksāmens latviešu valoda 9.klasei 9. klase,J. Čakstes Liepājas pilsētas 10. vidusskola,56.79,58
Eksāmens latviešu valoda 9.klasei 9. klase,J. Endzelīna Kauguru pamatskola,71.01,13
Eksāmens latviešu valoda 9.klasei 9. klase,Jāņa Eglīša Preiļu Valsts ģimnāzija,68.35,17
Eksāmens latviešu valoda 9.klasei 9. klase,Jaunannas Mūzikas un mākslas pamatskola,64.77,2
Eksāmens latviešu valoda 9.klasei 9. klase,Jaunciema pamatskola,76.49,7
Eksāmens latviešu valoda 9.klasei 9. klase,Jaunjelgavas vidusskola,63.72,16
Eksāmens latviešu valoda 9.klasei 9. klase,Jaunmārupes pamatskola,65.37,52
Eksāmens latviešu valoda 9.klasei 9. klase,Jauno Līderu vidusskola,75.15,9
Eksāmens latviešu valoda 9.klasei 9. klase,Jaunpiebalgas vidusskola,60.17,27
Eksāmens latviešu valoda 9.klasei 9. klase,Jaunpils vidusskola,66.52,18
Eksāmens latviešu valoda 9.klasei 9. klase,Jaunsilavas pamatskola,73.31,7
Eksāmens latviešu valoda 9.klasei 9. klase,Jēkabpils 3. vidusskola,61.48,66
Eksāmens latviešu valoda 9.klasei 9. klase,Jēkabpils Valsts ģimnāzija,69.57,105
Eksāmens latviešu valoda 9.klasei 9. klase,Jelgavas 4. vidusskola,57.43,82
Eksāmens latviešu valoda 9.klasei 9. klase,Jelgavas Amatu vidusskola,56.62,32
Eksāmens latviešu valoda 9.klasei 9. klase,Jelgavas Centra pamatskola,59.68,34
Eksāmens latviešu valoda 9.klasei 9. klase,Jelgavas cietums,61.36,2
Eksāmens latviešu valoda 9.klasei 9. klase,Jelgavas novada Neklātienes vidusskola,56.07,11
Eksāmens latviešu valoda 9.klasei 9. klase,"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",58.79,3
Eksāmens latviešu valoda 9.klasei 9. klase,Jelgavas Spīdolas Valsts ģimnāzija,69.94,97
Eksāmens latviešu valoda 9.klasei 9. klase,Jelgavas Tehnoloģiju vidusskola,65.97,71
Eksāmens latviešu valoda 9.klasei 9. klase,Jelgavas Valsts ģimnāzija,68.83,142
Eksāmens latviešu valoda 9.klasei 9. klase,Jersikas pamatskola,64.20,8
Eksāmens latviešu valoda 9.klasei 9. klase,Jumpravas pamatskola,71.32,10
Eksāmens latviešu valoda 9.klasei 9. klase,Jura Neikena Dikļu pamatskola,55.27,10
Eksāmens latviešu valoda 9.klasei 9. klase,JŪRMALA,59.55,9
Eksāmens latviešu valoda 9.klasei 9. klase,Jūrmalas Aspazijas pamatskola,70.87,11
Eksāmens latviešu valoda 9.klasei 9. klase,Jūrmalas Ķemeru pamatskola,63.85,15
Eksāmens latviešu valoda 9.klasei 9. klase,Jūrmalas Majoru vidusskola,66.82,40
Eksāmens latviešu valoda 9.klasei 9. klase,Jūrmalas Pumpuru vidusskola,70.97,48
Eksāmens latviešu valoda 9.klasei 9. klase,Jūrmalas Slokas pamatskola,62.69,25
Eksāmens latviešu valoda 9.klasei 9. klase,Jūrmalas Vaivaru pamatskola,66.18,15
Eksāmens latviešu valoda 9.klasei 9. klase,Jūrmalas Valsts ģimnāzija,67.09,61
Eksāmens latviešu valoda 9.klasei 9. klase,Kalētu Mūzikas un mākslas pamatskola,60.66,9
Eksāmens latviešu valoda 9.klasei 9. klase,Kalnciema pagasta vidusskola,47.68,10
Eksāmens latviešu valoda 9.klasei 9. klase,Kalnciema vidusskola,60.41,22
Eksāmens latviešu valoda 9.klasei 9. klase,Kalsnavas pamatskola,52.73,9
Eksāmens latviešu valoda 9.klasei 9. klase,Kalupes pamatskola,74.55,2
Eksāmens latviešu valoda 9.klasei 9. klase,Kalvenes pamatskola,68.03,6
Eksāmens latviešu valoda 9.klasei 9. klase,Kandavas Kārļa Mīlenbaha vidusskola,59.85,48
Eksāmens latviešu valoda 9.klasei 9. klase,Kandavas Reģionālā pamatskola,57.57,17
Eksāmens latviešu valoda 9.klasei 9. klase,Kārsavas vidusskola,74.47,23
Eksāmens latviešu valoda 9.klasei 9. klase,Kaunatas vidusskola,47.20,12
Eksāmens latviešu valoda 9.klasei 9. klase,Ķeguma vidusskola,61.18,35
Eksāmens latviešu valoda 9.klasei 9. klase,Ķeipenes pamatskola,70.23,4
Eksāmens latviešu valoda 9.klasei 9. klase,Ķekavas vidusskola,67.09,101
Eksāmens latviešu valoda 9.klasei 9. klase,Kocēnu pamatskola,65.74,24
Eksāmens latviešu valoda 9.klasei 9. klase,Kolkas pamatskola,57.00,5
Eksāmens latviešu valoda 9.klasei 9. klase,Krāslavas ģimnāzija,63.43,51
Eksāmens latviešu valoda 9.klasei 9. klase,Krimuldas vidusskola,55.79,26
Eksāmens latviešu valoda 9.klasei 9. klase,Kristiāna Dāvida pamatskola,66.36,5
Eksāmens latviešu valoda 9.klasei 9. klase,Krotes Kronvalda Ata pamatskola,57.80,6
Eksāmens latviešu valoda 9.klasei 9. klase,Krustpils pamatskola,72.23,20
Eksāmens latviešu valoda 9.klasei 9. klase,Kuldīgas 2. vidusskola,56.12,33
Eksāmens latviešu valoda 9.klasei 9. klase,Kuldīgas Centra vidusskola,57.28,41
Eksāmens latviešu valoda 9.klasei 9. klase,Kuldīgas Mākslas un humanitāro zinību vidusskola,75.89,27
Eksāmens latviešu valoda 9.klasei 9. klase,Kusas pamatskola,60.26,7
Eksāmens latviešu valoda 9.klasei 9. klase,Lādezera pamatskola,69.05,11
Eksāmens latviešu valoda 9.klasei 9. klase,Laidu pamatskola,78.18,4
Eksāmens latviešu valoda 9.klasei 9. klase,Lapmežciema pamatskola,75.85,16
Eksāmens latviešu valoda 9.klasei 9. klase,Latvijas Zinātņu tālmācības vidusskola,62.72,43
Eksāmens latviešu valoda 9.klasei 9. klase,Laucienes pamatskola,70.05,10
Eksāmens latviešu valoda 9.klasei 9. klase,Lazdonas pamatskola,48.71,6
Eksāmens latviešu valoda 9.klasei 9. klase,Lēdmanes pamatskola,67.48,11
Eksāmens latviešu valoda 9.klasei 9. klase,Lejasciema vidusskola,64.20,12
Eksāmens latviešu valoda 9.klasei 9. klase,Lielvārdes pamatskola,64.74,30
Eksāmens latviešu valoda 9.klasei 9. klase,Liepājas 8. vidusskola,51.35,43
Eksāmens latviešu valoda 9.klasei 9. klase,Liepājas Katoļu pamatskola,65.25,18
Eksāmens latviešu valoda 9.klasei 9. klase,Liepājas Raiņa 6. vidusskola,61.08,81
Eksāmens latviešu valoda 9.klasei 9. klase,Liepājas Valsts 1. ģimnāzija,64.86,105
Eksāmens latviešu valoda 9.klasei 9. klase,Liepas pamatskola,63.88,15
Eksāmens latviešu valoda 9.klasei 9. klase,Liepupes pamatskola,67.44,11
Eksāmens latviešu valoda 9.klasei 9. klase,Liezēres pamatskola,71.56,7
Eksāmens latviešu valoda 9.klasei 9. klase,Limbažu Valsts ģimnāzija,65.02,64
Eksāmens latviešu valoda 9.klasei 9. klase,Limbažu vidusskola,65.51,18
Eksāmens latviešu valoda 9.klasei 9. klase,Līvānu 1. vidusskola,68.73,35
Eksāmens latviešu valoda 9.klasei 9. klase,Līvbērzes pamatskola,59.00,10
Eksāmens latviešu valoda 9.klasei 9. klase,Lizuma vidusskola,59.34,9
Eksāmens latviešu valoda 9.klasei 9. klase,Lubānas vidusskola,51.36,13
Eksāmens latviešu valoda 9.klasei 9. klase,Lūcijas Rancānes Makašānu Amatu vidusskola,52.12,6
Eksāmens latviešu valoda 9.klasei 9. klase,Ludzas 2. vidusskola,59.45,15
Eksāmens latviešu valoda 9.klasei 9. klase,Ludzas pilsētas vidusskola,66.80,57
Eksāmens latviešu valoda 9.klasei 9. klase,Lutriņu pamatskola,53.64,6
Eksāmens latviešu valoda 9.klasei 9. klase,Madlienas vidusskola,64.53,27
Eksāmens latviešu valoda 9.klasei 9. klase,Madonas pilsētas vidusskola,63.33,54
Eksāmens latviešu valoda 9.klasei 9. klase,Madonas Valsts ģimnāzija,74.81,44
Eksāmens latviešu valoda 9.klasei 9. klase,Malienas pamatskola,65.23,2
Eksāmens latviešu valoda 9.klasei 9. klase,Mālpils vidusskola,64.81,21
Eksāmens latviešu valoda 9.klasei 9. klase,Maltas vidusskola,65.86,20
Eksāmens latviešu valoda 9.klasei 9. klase,Mārupes pamatskola,56.00,35
Eksāmens latviešu valoda 9.klasei 9. klase,Mārupes Valsts ģimnāzija,69.67,154
Eksāmens latviešu valoda 9.klasei 9. klase,Māteru Jura Kazdangas pamatskola,70.96,9
Eksāmens latviešu valoda 9.klasei 9. klase,Matīšu pamatskola,54.55,9
Eksāmens latviešu valoda 9.klasei 9. klase,Mazozolu filiāle,61.67,3
Eksāmens latviešu valoda 9.klasei 9. klase,Mazsalacas vidusskola,60.67,15
Eksāmens latviešu valoda 9.klasei 9. klase,Mazzalves pamatskola,71.00,5
Eksāmens latviešu valoda 9.klasei 9. klase,Meņģeles filiāle,76.06,3
Eksāmens latviešu valoda 9.klasei 9. klase,Mērdzenes pamatskola,68.07,4
Eksāmens latviešu valoda 9.klasei 9. klase,Mērsraga vidusskola,61.47,21
Eksāmens latviešu valoda 9.klasei 9. klase,Mežāres pamatskola,52.27,3
Eksāmens latviešu valoda 9.klasei 9. klase,Mežciema pamatskola,72.42,43
Eksāmens latviešu valoda 9.klasei 9. klase,Mežinieku pamatskola,54.46,11
Eksāmens latviešu valoda 9.klasei 9. klase,Mežvidu pamatskola,72.95,8
Eksāmens latviešu valoda 9.klasei 9. klase,Misas pamatskola,63.27,10
Eksāmens latviešu valoda 9.klasei 9. klase,Mores pamatskola,62.09,5
Eksāmens latviešu valoda 9.klasei 9. klase,Murjāņu sporta ģimnāzija,63.42,30
Eksāmens latviešu valoda 9.klasei 9. klase,Naujenes pamatskola,70.62,11
Eksāmens latviešu valoda 9.klasei 9. klase,Naukšēnu vidusskola,52.65,12
Eksāmens latviešu valoda 9.klasei 9. klase,Nautrēnu vidusskola,67.11,19
Eksāmens latviešu valoda 9.klasei 9. klase,Neretas Jāņa Jaunsudrabiņa vidusskola,77.27,8
Eksāmens latviešu valoda 9.klasei 9. klase,Nīcas vidusskola,68.22,26
Eksāmens latviešu valoda 9.klasei 9. klase,Nīgrandes pagasta Kalnu vidusskola,64.82,10
Eksāmens latviešu valoda 9.klasei 9. klase,Nīkrāces pamatskola,67.68,9
Eksāmens latviešu valoda 9.klasei 9. klase,Nītaures mūzikas un mākslas pamatskola,67.84,8
Eksāmens latviešu valoda 9.klasei 9. klase,O.Kalpaka Rīgas Tautas daiļamatu pamatskola,68.99,40
Eksāmens latviešu valoda 9.klasei 9. klase,Ogres 1. vidusskola,69.00,105
Eksāmens latviešu valoda 9.klasei 9. klase,Ogres Valsts ģimnāzija,66.85,115
Eksāmens latviešu valoda 9.klasei 9. klase,Ogresgala pamatskola,49.90,14
Eksāmens latviešu valoda 9.klasei 9. klase,Ojāra Vācieša Gaujienas pamatskola,66.50,13
Eksāmens latviešu valoda 9.klasei 9. klase,Olaines 1. vidusskola,68.53,57
Eksāmens latviešu valoda 9.klasei 9. klase,Oskara Kalpaka Liepājas 15. vidusskola,57.50,70
Eksāmens latviešu valoda 9.klasei 9. klase,Ozolnieku vidusskola,62.26,44
Eksāmens latviešu valoda 9.klasei 9. klase,Pāles pamatskola,63.99,9
Eksāmens latviešu valoda 9.klasei 9. klase,Palsmanes pamatskola,65.03,14
Eksāmens latviešu valoda 9.klasei 9. klase,"Pamatskola ""Rīdze""",68.99,53
Eksāmens latviešu valoda 9.klasei 9. klase,Pamūšas speciālā pamatskola,61.82,2
Eksāmens latviešu valoda 9.klasei 9. klase,Pastendes pamatskola,73.51,14
Eksāmens latviešu valoda 9.klasei 9. klase,Pāvilostas pamatskola,74.68,7
Eksāmens latviešu valoda 9.klasei 9. klase,Pededzes pamatskola,56.88,7
Eksāmens latviešu valoda 9.klasei 9. klase,Pelēču pamatskola,48.18,6
Eksāmens latviešu valoda 9.klasei 9. klase,Penkules pamatskola,67.05,8
Eksāmens latviešu valoda 9.klasei 9. klase,Pildas pamatskola,69.70,9
Eksāmens latviešu valoda 9.klasei 9. klase,Pilsrundāles vidusskola,58.88,26
Eksāmens latviešu valoda 9.klasei 9. klase,Piltenes pamatskola,68.14,10
Eksāmens latviešu valoda 9.klasei 9. klase,Pļaviņu vidusskola,64.55,39
Eksāmens latviešu valoda 9.klasei 9. klase,Popes pamatskola,63.89,9
Eksāmens latviešu valoda 9.klasei 9. klase,Praulienas pamatskola,59.64,5
Eksāmens latviešu valoda 9.klasei 9. klase,Preiļu 1. pamatskola,66.43,34
Eksāmens latviešu valoda 9.klasei 9. klase,Priekules vidusskola,60.89,29
Eksāmens latviešu valoda 9.klasei 9. klase,Priekuļu vidusskola,61.42,48
Eksāmens latviešu valoda 9.klasei 9. klase,Priežmalas pamatskola,68.64,3
Eksāmens latviešu valoda 9.klasei 9. klase,"Privātā pamatskola ""Gaismas tilts 97""",65.00,7
Eksāmens latviešu valoda 9.klasei 9. klase,Privātā pamatskola ZAĻĀ SKOLA,56.67,3
Eksāmens latviešu valoda 9.klasei 9. klase,"Privātā vidusskola ""Citruss""",73.94,3
Eksāmens latviešu valoda 9.klasei 9. klase,"Privātā vidusskola ""Laisma""",81.76,8
Eksāmens latviešu valoda 9.klasei 9. klase,"Privātā vidusskola ""Patnis""",73.93,11
Eksāmens latviešu valoda 9.klasei 9. klase,Privātā vidusskola Ādažu Brīvā Valdorfa skola,70.84,25
Eksāmens latviešu valoda 9.klasei 9. klase,Pūņu pamatskola,73.25,7
Eksāmens latviešu valoda 9.klasei 9. klase,Pūres pamatskola,62.00,10
Eksāmens latviešu valoda 9.klasei 9. klase,Pušmucovas pamatskola,56.06,3
Eksāmens latviešu valoda 9.klasei 9. klase,Puzes pamatskola,78.26,6
Eksāmens latviešu valoda 9.klasei 9. klase,Rāmuļu pamatskola,65.11,4
Eksāmens latviešu valoda 9.klasei 9. klase,Rankas pamatskola,72.88,6
Eksāmens latviešu valoda 9.klasei 9. klase,Raunas pamatskola,57.73,14
Eksāmens latviešu valoda 9.klasei 9. klase,Rekavas vidusskola,63.64,5
Eksāmens latviešu valoda 9.klasei 9. klase,Remtes pamatskola,52.12,3
Eksāmens latviešu valoda 9.klasei 9. klase,Rencēnu pamatskola,60.20,9
Eksāmens latviešu valoda 9.klasei 9. klase,Rēzeknes 4. vidusskola,46.36,2
Eksāmens latviešu valoda 9.klasei 9. klase,Rēzeknes 5. vidusskola,69.30,39
Eksāmens latviešu valoda 9.klasei 9. klase,Rēzeknes Katoļu vidusskola,72.73,14
Eksāmens latviešu valoda 9.klasei 9. klase,Rēzeknes pamatskola-attīstības centrs,48.48,3
