Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Iestādes veids,Iestādes tips,Pakļautība,Adreses ATVK kods,Pedagogu skaits (unikālie PK),"Pedagoģisko amatu vietu skaits, no tiem:",Arodmācības skolotājs/amatmācības skolotājs,Direktora vietnieks (izglītības jomā),Direktors (izglītības jomā),Diriģents,Horeogrāfs,Interešu izglītības skolotājs,"Internāta, dienesta viesnīcas skolotājs",Izglītības iestādes bibliotekārs,Izglītības iestādes bibliotekārs (ceturtā un trešā līmeņa kvalifikācija),Izglītības iestādes muzeju pedagogs,Izglītības metodiķis,Izglītības psihologs,Koncertmeistars,Pagarinātās dienas grupas skolotājs,Pamatdarbības struktūrvienības vadītāja vietnieks/ direktora vietnieks (izglītības jomā),Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (izglītības jomā),Pedagoga palīgs,Pedagogs karjeras konsultants,Pirmsskolas izglītības metodiķis,Pirmsskolas izglītības mūzikas skolotājs,Pirmsskolas izglītības skolotājs,Pirmsskolas izglītības sporta skolotājs,Profesionālās ievirzes skolotājs,Profesionālās izglītības skolotājs,Sākumizglītības skolotājs,Skolas direktora vietnieks,Skolas direktors,Skolotājs baleta mākslinieks,Skolotājs logopēds,Skolotājs mentors,Sociālais pedagogs,Speciālais pedagogs,Speciālās izglītības skolotājs,Sporta organizators,Sporta treneris,Sporta treneris ,Vadītāja vietnieks (izglītības jomā),Vadītāja vietnieks/direktora vietnieks (izglītības jomā),Vadītājs (izglītības jomā),Vadītājs/direktors (izglītības jomā),Vispārējās pamatizglītības skolotājs,Vispārējās vidējās izglītības skolotājs
JELGAVA,2801900526,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Kamolītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,23,26,,,,,,,,,,,,1,,,,,,,,,18,,,,,,,,2,,,,3,,,,,1,,1,,
JELGAVA,2801900533,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Rotaļa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,30,32,,,,,,,,,,,,1,,,,,,,,1,22,1,,,,,,,2,,,,1,,2,,,1,,1,,
JELGAVA,2801901402,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Vārpiņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,15,15,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,1,,,,,,,,,1,,1,,
JELGAVA,2801901403,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Gaismiņa""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,14,14,,,,,,,,,,,,,,,,,,,,1,9,1,,,,,,,1,,,,,,,,,1,,1,,
JELGAVA,2801902669,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Sprīdītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,39,44,,,,,,3,,,,,,2,,,,,,,,2,29,1,,,,,,,2,,,,2,,,,1,1,,1,,
JELGAVA,2801902853,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Ķipari""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,27,32,,,,,,,,,,,,1,,,,,,,,2,23,1,,,,,,,1,,,,1,,1,,,1,,1,,
JELGAVA,2801903057,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Kāpēcīši""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,33,34,,,,,,3,,,,,,,,,,,,,,1,21,2,,,,,,,2,,,,1,,1,,1,1,,1,,
JELGAVA,2801903074,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Zīļuks""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,090000,13,15,,,,,,2,,,,,,,,,,,,,,1,10,,,,,,,,1,,,,,,,,,1,,,,
JELGAVA,2811902954,Jelgavas 4. sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,090000,81,105,,,,,,16,,2,,,,2,,4,,,,1,,1,1,1,,,,5,1,,2,,1,,,,,,,,,,68,
JELGAVA,2812802996,"Lazdiņas privātā pamatskola ""Punktiņš""",Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Juridiska vai fiziska persona,090000,10,10,,,,,,,,,,,,,,,,,,,,,3,,,,6,,1,,,,,,,,,,,,,,,
JELGAVA,2812903293,Jelgavas Centra pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,090000,60,78,,,,,,8,,1,,,,,,2,,,1,,,1,1,1,,,,4,1,,3,,1,1,,,,,,,,,53,
JELGAVA,2813900137,Jelgavas 4. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,090000,124,176,,2,,,,5,,3,,,,2,,,,,5,1,,,,,,,,,1,,2,,2,,,,,,,6,,,110,37
JELGAVA,2813900138,Jelgavas 5. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,090000,72,96,,,,,,9,,2,,,,1,,7,,,8,1,,,,,,,2,4,1,,1,,1,,,,,,,,,,48,11
JELGAVA,2813900139,Jelgavas 6. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,090000,70,87,,,,,,13,,1,,,,1,,1,,,2,1,,1,6,1,,2,,3,1,,2,,1,,,,,,,,,,43,8
JELGAVA,2813902959,Jelgavas Tehnoloģiju vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,090000,88,110,,,,,,14,,2,,,,2,,,,,,1,,,,,,,,,1,,1,,1,,,,,,,5,,,45,38
JELGAVA,2819902423,Jelgavas Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,090000,73,121,,,,,,7,,2,,1,,1,,,,,,,,,,,,,,5,1,,,,1,,,,,,,,,,53,50
JELGAVA,2819903270,Jelgavas Spīdolas Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,090000,58,114,,1,,,,6,,2,,,,1,,,,,4,1,,,,,,,,3,1,,,,,,,,,,,,,,46,49
JELGAVA,2822902715,Jelgavas Paula Bendrupa pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,090000,37,58,,,,,,6,6,1,,,,1,,3,,,1,,,,,,,,,2,1,,2,,1,1,12,,,,,,,,21,
JELGAVA,2824903199,"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",Speciālās izglītības iestāde,Internātskola - attīstības centrs,Pašvaldība ,090000,49,68,,,,,,2,4,1,,,3,1,,,,,4,,,,2,1,,,,3,1,,2,,1,,18,,,,,,,,25,
JELGAVA,2831301246,Jelgavas Mūzikas vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Kultūras ministrija,090000,83,131,,,,,,,,2,,,2,,23,,1,,,,,,,,51,50,,,1,,,,,,,,,,,1,,,,
JELGAVA,2831902686,Jelgavas Amatu vidusskola,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās vidējās izglītības iestāde,Pašvaldība ,090000,28,29,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18
JELGAVA,2834002415,Jelgavas Tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās izglītības kompetences centrs,Izglītības un zinātnes ministrija,090000,91,124,,,,,,4,5,,2,,4,,,,,,,1,,,,,,66,,3,1,,,,1,,,2,,,,1,,,,34
JELGAVA,4515900863,Jelgavas novada Neklātienes vidusskola,Vispārējās izglītības iestāde,Neklātienes vidusskola,Pašvaldība ,090000,36,41,,,,,,,,1,,,,,,,,,1,,,,,,,,,3,1,,,,,,,,,,,,,,7,28
JELGAVAS NOVADS,4501901891,"Kalnciema pirmsskolas izglītības iestāde ""Mārīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,540258,18,20,,,,,,3,,,,,,,,,,1,,,1,1,12,1,,,,,,,1,,,,,,,,,,,,,
JELGAVAS NOVADS,4501901895,"Elejas pirmsskolas izglītības iestāde ""Kamenīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,540248,23,26,,,,,,4,,,,,1,,,,,,,,1,1,16,1,,,,,,,1,,,,,,,,,,,1,,
JELGAVAS NOVADS,4512900842,Svētes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,540282,47,60,,,,,,9,,,1,,,1,,,,,4,1,1,1,14,1,,,,1,1,,1,,1,1,,,,,,,,,22,
JELGAVAS NOVADS,4512900843,Vilces pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,540290,21,32,,1,,,,6,,1,,,,,,,,,,,1,1,7,,,,,,1,,1,,,,,,,,,,,,13,
JELGAVAS NOVADS,4512900845,Šķibes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,540252,37,53,,2,,,,8,,1,,,,,,4,,,,1,,1,11,1,,,,,1,,1,,1,1,,,,,,,,,20,
JELGAVAS NOVADS,4512900847,Aizupes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,540262,33,49,,,,,,8,,1,,,,1,,4,,,1,1,,1,2,,,,3,2,1,,1,,1,,,,,,,,,,22,
JELGAVAS NOVADS,4512900848,Sesavas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,540274,21,42,,,,,,9,,1,,,,,,6,,,,,1,1,6,1,,,1,,1,,1,,,,,,,,,1,,,13,
JELGAVAS NOVADS,4512903193,Līvbērzes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,540262,35,51,,,,,,5,,1,,,,1,,4,,,1,1,1,1,11,,,,,,1,,1,,1,1,,,,,,1,,,20,
JELGAVAS NOVADS,4513900858,Kalnciema vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,540286,34,54,,,,,,8,,1,,,2,1,,,,,,1,,1,6,1,,,,3,1,,1,,1,,,,,,,1,,,12,14
JELGAVAS NOVADS,4513900859,Elejas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,540248,38,68,,,,,,13,,1,,,1,,1,,,,9,1,,,,,,,1,4,1,,2,,1,,1,,,,,,,,18,14
JELGAVAS NOVADS,4513900861,Vircavas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,540292,57,85,,,,,,11,,2,,,,,,,,,3,1,2,3,14,,,,,,,,2,,1,2,,,,,,5,,1,28,10
JELGAVAS NOVADS,4513902499,Kalnciema pagasta vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,540258,22,31,,,,,,7,,1,,,,1,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,1,,,9,8
JELGAVAS NOVADS,4513902755,Staļģenes vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,540256,40,63,,,,,,10,,1,,,2,,,8,,,,1,1,1,9,1,,,,2,1,,2,,,1,,,,,,,,,12,11
JELGAVAS NOVADS,4513902986,Zaļenieku komerciālā un amatniecības vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,540296,53,82,,,,,,11,1,2,,,2,,,,1,,1,1,1,1,9,1,,26,2,1,1,,1,,1,,,,,,,2,,,17,
JELGAVAS NOVADS,4522900862,Lielplatones pamatskola-atbalsta centrs,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,540260,40,75,,,,,,,30,1,,,,1,,,,,,,,,,,,10,,2,1,,1,,1,,28,,,,,,,,,
JĒKABPILS,1001900300,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Bērziņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,110000,17,18,,,,,,,,,,,,,,,,,,,,1,13,1,,,,,,,1,,,,,,,,,1,,1,,
JĒKABPILS,1001900301,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Auseklītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,110000,28,28,,,,,,,,,,,,,,,,,,,,2,22,1,,,,,,,2,,,,,,,,,1,,,,
JĒKABPILS,1001900302,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Zvaigznīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,110000,46,46,,,,,,,,,,,,,,,,,,,,2,36,2,,,,,,,2,,,,2,,,,,1,,1,,
JĒKABPILS,1001900303,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Zvaniņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,110000,30,30,,,,,,,,,,,,,,,,,,,,2,24,1,,,,,,,1,,,,,,,,,1,,1,,
JĒKABPILS,1001900304,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Kāpēcītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,110000,31,31,,,,,,,,,,,,,,,,,,,,2,24,1,,,,,,,2,,,,,,,,,1,,1,,
JĒKABPILS,1012900275,Krustpils pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,110000,30,47,,1,,,,5,,1,,,,2,,1,,,7,1,,,,,,,,2,1,,2,,,,,,,,,,,,24,
JĒKABPILS,1013900258,Jēkabpils 2. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,110000,115,143,,,,,,12,1,2,,,,2,,,,,2,,,,,,,,10,9,1,,1,,3,,1,,,,,,,,80,19
JĒKABPILS,1013900259,Jēkabpils 3. vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,110000,58,85,,,,,,14,3,1,,,,1,,,,,,,,,,,,,,4,1,,2,,1,,,,,,,,,,19,39
JĒKABPILS,1019900257,Jēkabpils Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,110000,60,100,,,,,,4,,1,,,3,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,4,,,44,41
JĒKABPILS,1047003153,Jēkabpils Agrobiznesa koledža,Augstākās izglītības iestāde,Koledža,Izglītības un zinātnes ministrija,110000,84,132,,3,,,,6,3,2,,,5,1,,,2,1,,,,,,,,68,,,,,,,,,,2,,,,,,,,39
JĒKABPILS NOVADS,4512900267,Ābeļu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,560248,27,50,,2,,,,4,,,,,1,3,,3,,,12,,,1,4,1,,,,,1,,1,,1,,,,,,,,,,16,
JĒKABPILS NOVADS,4512900270,Dignājas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,560252,15,26,,,1,,,4,,1,,,,1,,3,,,,,,1,4,1,,,,,,,,,,,,,,,,,,,10,
JĒKABPILS NOVADS,4512900281,Rubeņu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,560282,16,32,,,,,,7,,1,,,,,,2,,,2,,,1,3,,,,,,1,,1,,,,,,,,,,,,14,
JĒKABPILS NOVADS,4513900263,Zasas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,560298,32,49,,,,,,9,2,1,,,,1,,,,,1,,,1,6,1,,,,,1,,1,,1,,,,,,,2,,,14,8
JŪRMALA,2901802609,"Pirmsskolas izglītības iestāde Jūrmalas privātais bērnudārzs ""GALAKTIKA""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Juridiska vai fiziska persona,130000,2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
JŪRMALA,2901902124,"Jūrmalas pirmsskolas izglītības iestāde ""Lācītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,30,30,,,,,,,,,,,,,,,,,,,1,3,22,2,,,,,,,1,,,,,,,,,,,1,,
JŪRMALA,2901902125,"Jūrmalas pirmsskolas izglītības iestāde ""Saulīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,25,26,,,,,,,,,,,,,,,,,,,,2,20,1,,,,,,,2,,,,,,,,,,,1,,
JŪRMALA,2901902126,"Jūrmalas pirmsskolas izglītības iestāde ""Bitīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,14,16,,,,,,,,,,,1,,,,,,,,,2,10,1,,,,,,,1,,,,,,,,,,,1,,
JŪRMALA,2901902127,"Jūrmalas pirmsskolas izglītības iestāde ""Mārīte""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,28,28,,,,,,,,,,,1,,,,,,,,,2,20,1,,,,,,,3,,,,,,,,,,,1,,
JŪRMALA,2901902128,"Jūrmalas pirmsskolas izglītības iestāde ""Madara""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,29,29,,,,,,,,,,,,,,,,,,,1,2,22,1,,,,,,,2,,,,,,,,,,,1,,
JŪRMALA,2901902129,"Jūrmalas pirmsskolas izglītības iestāde ""Namiņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,14,14,,,,,,,,,,,,,,,,,,,1,2,8,1,,,,,,,1,,,,,,,,,,,1,,
JŪRMALA,2901902131,"Jūrmalas Pirmsskolas izglītības iestāde ""Austras koks""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,13,13,,,,,,,,,,,,,,,,,,,1,1,8,1,,,,,,,1,,,,,,,,,,,1,,
JŪRMALA,2901902132,"Jūrmalas pirmsskolas izglītības iestāde ""Katrīna""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,10,13,,,,,,,,,,,,,,,,,,,1,1,8,1,,,,,,,1,,,,,,,,,,,1,,
JŪRMALA,2901902800,"Jūrmalas pirmsskolas izglītības iestāde ""Zvaniņš""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,18,18,,,,,,,,,,,1,,,,,,,,,2,12,1,,,,,,,1,,,,,,,,,,,1,,
JŪRMALA,2901903364,"Jūrmalas pirmsskolas izglītības iestāde ""Taurenītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,19,19,,,,,,,,,,,,,,,,,,,1,2,13,1,,,,,,,1,,,,,,,,,,1,,,
JŪRMALA,2901903409,"Jūrmalas pirmsskolas izglītības iestāde ""PODZIŅA""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,130000,16,19,,,,,,,,,,,3,1,,,,,,,,1,10,1,,,,,,,2,,,,,,,,,,,1,,
JŪRMALA,2911901386,"Sākumskola ""Ābelīte""",Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,130000,45,50,,,,,,1,,1,,,1,1,,4,,,,,,2,22,2,,,,,1,,1,,,1,,,,,,1,,,12,
JŪRMALA,2912901351,Slokas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,130000,28,37,,,,,,7,,1,,,,,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,23,
JŪRMALA,2912901382,Jūrmalas Alternatīvā skola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,130000,45,69,,2,,,,14,,1,,,,1,1,7,,1,,,1,2,6,1,,,,,1,,1,,,,,,,,,,,,29,1
JŪRMALA,2912901441,Vaivaru pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,130000,31,51,,,,,,9,,,,,,,,5,,1,1,,1,1,3,1,,,,3,1,,1,,1,,6,,,,,,,,17,
JŪRMALA,2912903110,Ķemeru pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,130000,19,38,,,,,,11,,1,,,,,1,4,,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,17,
JŪRMALA,2912903112,Jūrmalas pilsētas Lielupes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,130000,22,38,,,,,,9,,1,,,,,1,2,,,3,,,,,,,,,,1,,1,,1,,,,,,,2,,,17,
JŪRMALA,2913901344,Jūrmalas pilsētas Kauguru vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,130000,71,96,,,,,,10,,3,,,,1,,7,,,,,,1,4,1,,,,,1,,1,,1,,,,,,,4,,,52,10
JŪRMALA,2913901346,Pumpuru vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,130000,73,120,,3,,,,21,,1,,,6,1,1,10,,,,,,2,3,2,,,,2,1,,1,,1,,,,,,,,,,16,49
JŪRMALA,2913901348,Jūrmalas pilsētas Mežmalas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,130000,54,71,,,,,,6,,1,,,,1,,3,,,,,,1,7,1,,,,,1,,1,,1,1,,,,,,3,,,24,20
JŪRMALA,2913901349,Jūrmalas pilsētas Jaundubultu vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,130000,36,51,,,,,,9,,1,,,,1,,4,,,,1,,,,,,,,2,1,,1,,1,,,,,,,1,,,8,21
JŪRMALA,2913901352,Majoru vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,130000,48,72,,,,,,12,,1,,,,1,1,9,,,,,,,2,,,,,2,1,,1,,2,,,,,,,1,,,18,21
JŪRMALA,2919902697,Jūrmalas Valsts ģimnāzija,Vispārējās izglītības iestāde,Valsts ģimnāzija,Pašvaldība ,130000,78,115,,,1,,,20,,2,,,14,1,1,8,,,,,,,,,,,,5,,,1,,1,1,,,,,,,,,32,28
JŪRMALA,2922901384,Jūrmalas pilsētas pamatskola,Speciālās izglītības iestāde,Speciālā pamatskola,Pašvaldība ,130000,37,56,,,,,,5,7,1,,,,1,,,,,7,,,,2,,,8,,1,1,,1,,2,,19,,,,,1,,,,
KANDAVAS NOVADS,4301901616,"Kandavas pilsētas pirmsskolas izglītības iestāde ""Zīļuks""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,901211,29,34,,,,,,1,,,,,,,,,,,,,,2,25,1,,,,,,,2,,,,1,,,,,1,,1,,
KANDAVAS NOVADS,4311903361,Zemītes sākumskola,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,Pašvaldība ,901294,18,28,,1,,,,4,,1,,,,,,,,,1,,,1,5,1,,,3,,1,,2,,,,,,,,,,,,8,
KANDAVAS NOVADS,4312900231,Cēres pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,901244,14,23,,,,,,4,,,,,,,,,,,,,,1,2,1,,,,,1,,1,,,1,,,,,,1,,,11,
KANDAVAS NOVADS,4312900246,Kandavas novada Zantes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,901292,18,35,,1,,,,7,,,,,,,,4,,,,,,1,3,,,,2,1,1,,1,,1,,,,,,,,,,13,
KANDAVAS NOVADS,4312903111,Vānes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,901288,19,32,,,,,,7,,,,,,,,2,,,,,,,5,,,,,,1,,1,,,,,,,,,1,,,15,
KANDAVAS NOVADS,4313900205,Kandavas Kārļa Mīlenbaha vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,901211,47,63,,,,,,13,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,1,,,,,,4,,1,23,17
KANDAVAS NOVADS,4313900352,Kandavas Reģionālā vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,901211,47,98,,,,,,7,17,2,,,,1,,12,,,2,,,1,5,1,,,,3,1,,2,,,1,,,,,,,,,32,11
KANDAVAS NOVADS,4334002589,Kandavas Lauksaimniecības tehnikums,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās izglītības kompetences centrs,Izglītības un zinātnes ministrija,901211,117,156,,2,,,,8,7,2,,,3,,,,1,2,1,,,,,,,78,,2,1,,,,,,,3,,,,4,,,,42
KĀRSAVAS NOVADS,4201900491,"Malnavas pagasta pirmsskolas izglītības iestāde ""Sienāzītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,681068,8,8,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,1,,,,,,,,,,,1,,
KĀRSAVAS NOVADS,4201900493,Kārsavas pilsētas pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,681009,9,11,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,1,,,,,,,,,,,1,,
KĀRSAVAS NOVADS,4212900450,Salnavas pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,681094,13,27,,,,,,5,,1,,,,,,,,,4,,,1,1,,,,,,1,,1,,1,1,,,,,,,,,11,
KĀRSAVAS NOVADS,4212900452,Mērdzenes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,681072,18,30,,,,,,6,,1,,,,,,2,,,,,,1,4,,,,,,,,1,,,,,,,,,,,1,14,
KĀRSAVAS NOVADS,4212900463,Mežvidu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,681070,15,28,,,,,,6,4,1,,,,,,2,,,,,,1,3,,,,,,1,,1,,,,,,,,,,,,9,
KĀRSAVAS NOVADS,4213902516,Kārsavas vidusskola,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,Pašvaldība ,681009,35,61,,,,,,7,1,1,,,1,1,,,,,,1,,,,,,,,,,,1,,,1,,,,,,2,,1,29,15
KĀRSAVAS NOVADS,4247002587,Malnavas koledža,Augstākās izglītības iestāde,Koledža,Izglītības un zinātnes ministrija,681068,36,55,,,,,,11,3,,,,1,,,,,,,,,,,,,20,,,,,,,,,,1,,,,2,,,,17
KOCĒNU NOVADS,4401901991,"Kocēnu novada pirmsskolas izglītības iestāde ""Auseklītis""",Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,Pašvaldība ,960264,30,32,,,,,,,,,,,,,,,,,,,,3,24,1,,,,,,,2,,,,,,,,,1,,1,,
KOCĒNU NOVADS,4412900637,Rubenes pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,960264,22,38,,,,,,10,,1,,,,,,,,1,2,,,,,,,,,2,1,,1,,1,1,,,,,,,,,18,
KOCĒNU NOVADS,4412900647,Kocēnu pamatskola,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,Pašvaldība ,960264,35,51,,,,,,12,,1,,,,,1,,,,2,,,,,,,,,1,1,,1,,1,1,,,,,,1,,,29,
